Metric Name,Title,Value,extraction_datetime,extraction_date,extraction_year,extraction_month,extraction_day,extraction_time
replies,Replies,2,2025-04-24 19:06:44.657760,2025-04-24,2025,April,24,19:06:44
views,Views,5928,2025-04-24 19:06:44.657760,2025-04-24,2025,April,24,19:06:44
follows_and_unfollows,Follows and unfollows,0,2025-04-24 19:06:44.657760,2025-04-24,2025,April,24,19:06:44
profile_links_taps,Profile links taps,0,2025-04-24 19:06:44.657760,2025-04-24,2025,April,24,19:06:44
reach,Accounts reached,3412,2025-04-25 19:07:22.535881,2025-04-25,2025,April,25,19:07:22
website_clicks,Website link taps,3,2025-04-25 19:07:22.535881,2025-04-25,2025,April,25,19:07:22
profile_views,Profile visits,152,2025-04-25 19:07:22.535881,2025-04-25,2025,April,25,19:07:22
total_interactions,Content interactions,627,2025-04-25 19:07:22.535881,2025-04-25,2025,April,25,19:07:22
likes,Likes,468,2025-04-25 19:07:22.535881,2025-04-25,2025,April,25,19:07:22
comments,Comments,20,2025-04-25 19:07:22.535881,2025-04-25,2025,April,25,19:07:22
shares,Shares,15,2025-04-25 19:07:22.535881,2025-04-25,2025,April,25,19:07:22
saves,Saves,123,2025-04-25 19:07:22.535881,2025-04-25,2025,April,25,19:07:22
replies,Replies,1,2025-04-25 19:07:22.535881,2025-04-25,2025,April,25,19:07:22
views,Views,6287,2025-04-25 19:07:22.535881,2025-04-25,2025,April,25,19:07:22
follows_and_unfollows,Follows and unfollows,0,2025-04-25 19:07:22.535881,2025-04-25,2025,April,25,19:07:22
profile_links_taps,Profile links taps,0,2025-04-25 19:07:22.535881,2025-04-25,2025,April,25,19:07:22
reach,Accounts reached,5833,2025-04-26 19:07:15.629901,2025-04-26,2025,April,26,19:07:15
website_clicks,Website link taps,2,2025-04-26 19:07:15.629901,2025-04-26,2025,April,26,19:07:15
profile_views,Profile visits,183,2025-04-26 19:07:15.629901,2025-04-26,2025,April,26,19:07:15
total_interactions,Content interactions,591,2025-04-26 19:07:15.629901,2025-04-26,2025,April,26,19:07:15
likes,Likes,395,2025-04-26 19:07:15.629901,2025-04-26,2025,April,26,19:07:15
comments,Comments,52,2025-04-26 19:07:15.629901,2025-04-26,2025,April,26,19:07:15
shares,Shares,16,2025-04-26 19:07:15.629901,2025-04-26,2025,April,26,19:07:15
saves,Saves,127,2025-04-26 19:07:15.629901,2025-04-26,2025,April,26,19:07:15
replies,Replies,1,2025-04-26 19:07:15.629901,2025-04-26,2025,April,26,19:07:15
views,Views,10134,2025-04-26 19:07:15.629901,2025-04-26,2025,April,26,19:07:15
follows_and_unfollows,Follows and unfollows,0,2025-04-26 19:07:15.629901,2025-04-26,2025,April,26,19:07:15
profile_links_taps,Profile links taps,0,2025-04-26 19:07:15.629901,2025-04-26,2025,April,26,19:07:15
reach,Accounts reached,15270,2025-04-27 19:06:38.261614,2025-04-27,2025,April,27,19:06:38
website_clicks,Website link taps,4,2025-04-27 19:06:38.261614,2025-04-27,2025,April,27,19:06:38
profile_views,Profile visits,323,2025-04-27 19:06:38.261614,2025-04-27,2025,April,27,19:06:38
total_interactions,Content interactions,547,2025-04-27 19:06:38.261614,2025-04-27,2025,April,27,19:06:38
likes,Likes,459,2025-04-27 19:06:38.261614,2025-04-27,2025,April,27,19:06:38
comments,Comments,54,2025-04-27 19:06:38.261614,2025-04-27,2025,April,27,19:06:38
shares,Shares,15,2025-04-27 19:06:38.261614,2025-04-27,2025,April,27,19:06:38
saves,Saves,17,2025-04-27 19:06:38.261614,2025-04-27,2025,April,27,19:06:38
replies,Replies,2,2025-04-27 19:06:38.261614,2025-04-27,2025,April,27,19:06:38
views,Views,22412,2025-04-27 19:06:38.261614,2025-04-27,2025,April,27,19:06:38
follows_and_unfollows,Follows and unfollows,0,2025-04-27 19:06:38.261614,2025-04-27,2025,April,27,19:06:38
profile_links_taps,Profile links taps,0,2025-04-27 19:06:38.261614,2025-04-27,2025,April,27,19:06:38
reach,Accounts reached,16608,2025-04-28 19:06:27.618019,2025-04-28,2025,April,28,19:06:27
website_clicks,Website link taps,4,2025-04-28 19:06:27.618019,2025-04-28,2025,April,28,19:06:27
profile_views,Profile visits,301,2025-04-28 19:06:27.618019,2025-04-28,2025,April,28,19:06:27
total_interactions,Content interactions,416,2025-04-28 19:06:27.618019,2025-04-28,2025,April,28,19:06:27
likes,Likes,360,2025-04-28 19:06:27.618019,2025-04-28,2025,April,28,19:06:27
comments,Comments,25,2025-04-28 19:06:27.618019,2025-04-28,2025,April,28,19:06:27
shares,Shares,11,2025-04-28 19:06:27.618019,2025-04-28,2025,April,28,19:06:27
saves,Saves,17,2025-04-28 19:06:27.618019,2025-04-28,2025,April,28,19:06:27
replies,Replies,3,2025-04-28 19:06:27.618019,2025-04-28,2025,April,28,19:06:27
views,Views,23475,2025-04-28 19:06:27.618019,2025-04-28,2025,April,28,19:06:27
follows_and_unfollows,Follows and unfollows,0,2025-04-28 19:06:27.618019,2025-04-28,2025,April,28,19:06:27
profile_links_taps,Profile links taps,0,2025-04-28 19:06:27.618019,2025-04-28,2025,April,28,19:06:27
reach,Accounts reached,5750,2025-04-29 19:06:58.394927,2025-04-29,2025,April,29,19:06:58
website_clicks,Website link taps,1,2025-04-29 19:06:58.394927,2025-04-29,2025,April,29,19:06:58
profile_views,Profile visits,154,2025-04-29 19:06:58.394927,2025-04-29,2025,April,29,19:06:58
total_interactions,Content interactions,383,2025-04-29 19:06:58.394927,2025-04-29,2025,April,29,19:06:58
likes,Likes,312,2025-04-29 19:06:58.394927,2025-04-29,2025,April,29,19:06:58
comments,Comments,36,2025-04-29 19:06:58.394927,2025-04-29,2025,April,29,19:06:58
shares,Shares,11,2025-04-29 19:06:58.394927,2025-04-29,2025,April,29,19:06:58
saves,Saves,18,2025-04-29 19:06:58.394927,2025-04-29,2025,April,29,19:06:58
replies,Replies,6,2025-04-29 19:06:58.394927,2025-04-29,2025,April,29,19:06:58
views,Views,8736,2025-04-29 19:06:58.394927,2025-04-29,2025,April,29,19:06:58
